Pair	Ctcf_E	Dnase1_E	H3k27ac_E	H3k27me3_E	H3k36me3_E	H3k4me2_E	H3k9ac_E	H4k20me1_E	Rad21_E	Tbp_E	Ctcf_P	Dnase1_P	H3k27ac_P	H3k27me3_P	H3k36me3_P	H3k4me2_P	H3k9ac_P	H4k20me1_P	Rad21_P	Tbp_P	Correlation	Exp	Class
chr11_116519437_116522476-chr11_116640802_116647668	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0.225416	0.309843	0
chr11_116600907_116606392-chr11_116653885_116657531	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	-0.438597	0.415238	0
chr11_116617499_116620420-chr11_116657531_116663531	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	1	0	1	1	0.207939	0.415238	0
chr11_116620420_116622059-chr11_116653885_116657531	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0.439912	0.415238	0
chr11_116721973_116726985-chr11_116734834_116737615	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.111111	0.045294	0
chr11_116789136_116799699-chr11_116653885_116657531	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0.22652	0.415238	0
chr11_116829740_116830954-chr11_116653885_116657531	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1.47851e-16	0.415238	0
chr11_116874038_116875594-chr11_116734834_116737615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1.31278e-16	0.045294	0
chr11_116914344_116923482-chr11_116737744_116757175	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	3.78827e-17	0.045294	0
chr11_116948154_116954945-chr11_116734834_116737615	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0.111111	0.045294	0
chr11_131152002_131159818-chr11_131237805_131240614	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
chr11_131166803_131167037-chr11_131237805_131240614	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
chr11_131167037_131171611-chr11_131448816_131456703	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0.4175	0	0
chr11_131400371_131400484-chr11_131448816_131456703	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0.4175	0	0
chr11_131494900_131499335-chr11_131237805_131240614	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
chr11_131521804_131527262-chr11_131448816_131456703	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0.4175	0	0
chr11_131527262_131528564-chr11_131237805_131240614	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
chr11_2208025_2209684-chr11_1959542_2001735	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	0.410362	0.16796	0
chr11_2272558_2285383-chr11_1891695_1918488	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0.212108	0.00151	0
chr11_5020673_5032983-chr11_5566274_5571131	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0.0272362	3.3e-05	0
chr11_5505643_5505728-chr11_5505728_5514500	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
chr11_5505643_5505728-chr11_5616559_5618985	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0.623261	0.010114	0
chr11_5584754_5586716-chr11_5469844_5475173	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0.289388	0	0
chr11_5619995_5622488-chr11_5721056_5732713	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0.0277009	0.013094	0
